,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,18,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Jefferson,2500,245001,9,6
,Taft,Cleveland,2000,193301,8,8
,Hoover,Washington,2000,257501,7,5
,Jackson,Buren,500,198001,6,7
,Polk,Monroe,2500,336001,6,1
,Tyler,Lincoln,2500,312801,4,2
,Pierce,Fillmore,3000,309801,3,3
,Garfield,Taylor,5000,33801,6,9
,Harrison,Adams,1000,309801,2,4
,総取引における距離の平均,2333.0,合算地,21000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,19,買いたい家の数,14,
,売れた家の数,14,買えた家の数,14,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Clinton,1000,94401,14,10
,Roosevelt,Madison,2000,108001,14,7
,Reagan,Arthur,2500,69801,13,11
,Truman,Ford,500,257501,12,2
,Obama,Buchanan,2500,45801,13,13
,Adams,Coolidge,500,232701,12,3
,Washington,Garfield,4500,97001,13,8
,Jefferson,Pierce,500,45801,13,13
,Monroe,Harrison,1500,108001,9,5
,Fillmore,Jackson,1000,168001,10,4
,Buren,Grant,1000,94401,6,9
,Taylor,Polk,4500,264801,9,1
,Lincoln,Hoover,2000,108001,5,6
,Cleveland,Tyler,1000,33801,9,14
,総取引における距離の平均,1785.0,合算地,25000,何番目に好きな人に売れたの平均,7.0,何番目に好きな人から買えたの平均,10.0
,売りたい家の数,11,買いたい家の数,8,
,売れた家の数,8,買えた家の数,8,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Nixson,1000,108001,7,5
,Ford,Taft,1500,115201,6,4
,Clinton,Truman,3000,348001,7,1
,Coolidge,Carter,1000,74801,6,6
,Madison,Obama,2000,26401,4,8
,Buchanan,Hayes,1500,247901,6,3
,Grant,Reagan,3000,74801,8,7
,Arthur,Mckinley,1500,309801,1,2
,総取引における距離の平均,1812.0,合算地,14500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,5.0
,売りたい家の数,4,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Roosevelt,2000,309801,3,1
,Carter,Bush,1500,302401,2,2
,Hayes,Kennedy,4500,218701,2,4
,Mckinley,Johnson,4500,302401,4,3
,総取引における距離の平均,3125.0,合算地,12500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,1,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,6,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Garfield,2500,245001,1,1
,総取引における距離の平均,2500.0,合算地,2500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,6,買いたい家の数,9,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Adams,Fillmore,1000,232701,6,1
,Jackson,Harrison,1000,198001,5,2
,Buren,Monroe,1000,94401,6,4
,Lincoln,Polk,3000,108001,6,3
,Garfield,Tyler,1000,33801,1,5
,Cleveland,Johnson,3500,33801,2,6
,総取引における距離の平均,1750.0,合算地,10500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,4.0
,売りたい家の数,16,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Madison,2500,158801,9,8
,Monroe,Grant,1000,108001,8,9
,Polk,Jefferson,3500,336001,8,1
,Tyler,Jackson,1500,312801,7,2
,Fillmore,Lincoln,2000,168001,8,7
,Taylor,Cleveland,4000,264801,8,5
,Pierce,Buren,2500,309801,5,4
,Buchanan,Arthur,3500,247901,3,6
,Harrison,Adams,1000,309801,9,3
,総取引における距離の平均,2388.0,合算地,21500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,7.0
,売りたい家の数,11,買いたい家の数,8,
