,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,18,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Carter,2000,94401,12,8
,Hoover,Jefferson,1500,257501,12,3
,Clinton,Monroe,2000,348001,10,1
,Obama,Adams,1000,45801,11,10
,Coolidge,Polk,1500,74801,11,9
,Washington,Pierce,1000,97001,10,7
,Madison,Jackson,1000,26401,10,12
,Tyler,Buren,1000,312801,9,2
,Fillmore,Harrison,1000,168001,8,5
,Buchanan,Mckinley,2000,247901,5,4
,Lincoln,Hayes,1000,108001,4,6
,Garfield,Ford,3500,33800,4,11
,総取引における距離の平均,1541.0,合算地,18500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,8.0
,売りたい家の数,18,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Ford,Coolidge,1500,115201,12,9
,Carter,Madison,500,302401,11,4
,Adams,Tyler,1500,232701,11,6
,Jefferson,Obama,2500,45801,12,12
,Monroe,Washington,1500,108001,11,10
,Jackson,Grant,500,198001,10,8
,Polk,Lincoln,3000,336001,9,1
,Buren,Fillmore,500,94401,10,11
,Pierce,Garfield,4500,309801,8,2
,Hayes,Cleveland,1500,218701,8,7
,Harrison,Clinton,2500,309801,12,3
,Mckinley,Buchanan,2000,302401,2,5
,総取引における距離の平均,1833.0,合算地,22000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,9.0
,売りたい家の数,6,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Hoover,1000,309801,4,1
,Taylor,Reagan,2000,264801,3,2
,Grant,Truman,3000,74801,2,3
,総取引における距離の平均,2000.0,合算地,6000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,7,買いたい家の数,3,
,売れた家の数,3,買えた家の数,3,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Arthur,2500,69801,3,2
,Truman,Taylor,1000,257501,2,1
,総取引における距離の平均,1750.0,合算地,3500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,4,買いたい家の数,5,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Kennedy,500,108001,4,3
,Roosevelt,Nixson,2000,108001,3,3
,Arthur,Taft,1500,309801,3,1
,総取引における距離の平均,1333.0,合算地,4000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,8,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Roosevelt,500,158801,6,4
,Taft,Obama,500,193301,6,3
,Hoover,Lincoln,2000,257501,5,2
,Coolidge,Washington,2500,74801,3,5
,Madison,Fillmore,2000,26401,2,7
,Tyler,Buchanan,3000,312801,3,1
,Cleveland,Bush,2500,33800,1,6
,総取引における距離の平均,1857.0,合算地,13000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,14,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Clinton,Coolidge,1000,348001,8,1
,Obama,Adams,1000,45801,7,9
,Washington,Madison,1000,97001,6,7
,Monroe,Tyler,2000,108001,5,6
,Fillmore,Polk,1000,168001,8,4
,Buren,Pierce,2500,94401,5,8
,Buchanan,Hayes,1500,247901,6,3
,Lincoln,Carter,1500,108001,9,5
,Harrison,Mckinley,500,309801,5,2
,総取引における距離の平均,1333.0,合算地,12000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,6.0
,売りたい家の数,9,買いたい家の数,10,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Buren,3000,94401,9,9
,Carter,Nixson,1500,302401,8,3
,Adams,Hoover,1000,232701,8,6
,Jackson,Grant,500,198001,6,8
,Polk,Monroe,2500,336001,6,1
